wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,0.015664219426,1558.2,1503.0
337.831827048,0.0153753637573,1558.2,1504.0
338.290423593,0.0155832729035,1554.8,1500.0
338.749050143,0.0156920900811,1558.3,1503.0
339.207706708,0.0155982789332,1559.0,1504.0
339.6663933,0.0167489052786,1556.9,1498.0
340.125109928,0.014658848038,1557.7,1506.0
340.583856603,0.0162425077697,1558.2,1501.0
341.042633336,0.0166202942761,1555.4,1497.0
341.501440136,0.0170611777964,1560.1,1500.0
341.960277014,0.0161347851993,1554.7,1498.0
342.41914398,0.0161723324655,1562.1,1505.0
342.878041045,0.017696295131,1560.3,1498.0
343.33696822,0.0155704207927,1558.9,1504.0
343.795925514,0.0162531359904,1557.2,1500.0
344.254912938,0.0178192718102,1559.7,1497.0
344.713930503,0.0171778873054,1562.6,1502.0
345.172978218,0.0162425077697,1558.2,1501.0
345.632056094,0.017300337298,1562.0,1501.0
346.091164143,0.0182367422662,1561.2,1497.0
346.550302373,0.0180141412967,1560.4,1497.0
347.009470795,0.0191940682318,1563.6,1496.0
347.46866942,0.0173168304175,1563.1,1502.0
347.927898259,0.0189470240801,1564.8,1498.0
348.387157321,0.0187559605758,1566.2,1500.0
348.846446617,0.0190704812089,1564.2,1497.0
349.305766157,0.0180545822889,1566.8,1503.0
349.765115952,0.0176987548762,1567.6,1505.0
350.224496013,0.0178533275928,1569.2,1506.0
350.683906348,0.0192573809291,1570.1,1502.0
351.14334697,0.0182920602937,1568.7,1504.0
351.602817888,0.0202771766724,1569.6,1498.0
352.062319113,0.0191494481817,1571.8,1504.0
352.521850655,0.020789021269,1572.5,1499.0
352.981412524,0.0200718494601,1572.0,1501.0
353.441004732,0.0205403872915,1571.6,1499.0
353.900627287,0.0203910392999,1576.3,1504.0
354.360280202,0.0201809978401,1570.3,1499.0
354.819963485,0.0211617972821,1579.1,1504.0
355.279677148,0.0224316794783,1575.3,1496.0
355.739421201,0.0220300604806,1577.0,1499.0
356.199195654,0.0222503188761,1577.8,1499.0
356.659000518,0.0225658278987,1580.0,1500.0
357.118835803,0.0230902961263,1579.8,1498.0
357.578701519,0.0229803203136,1579.4,1498.0
358.038597677,0.0222200454642,1581.9,1503.0
358.498524288,0.0224626473062,1571.2,1492.0
358.958481361,0.0222460940391,1584.1,1505.0
359.418468907,0.0228109821942,1583.0,1502.0
359.878486936,0.0237409373478,1579.0,1495.0
360.33853546,0.0208866835761,1578.1,1504.0
360.798614487,0.0225895859525,1584.3,1504.0
361.25872403,0.0233073433039,1582.7,1500.0
361.718864097,0.0236090795738,1583.8,1500.0
362.1790347,0.023517520783,1589.8,1506.0
362.639235848,0.024090810876,1591.9,1506.0
363.099467553,0.0249332402038,1584.4,1496.0
363.559729824,0.0251912836091,1591.7,1502.0
364.020022673,0.0269394466763,1592.8,1497.0
364.480346108,0.0263527658022,1594.9,1501.0
364.940700142,0.0264072227906,1595.1,1501.0
365.401084783,0.0257306244814,1595.8,1504.0
365.861500044,0.0280106034591,1597.8,1498.0
366.321945933,0.0270970422924,1598.7,1502.0
366.782422461,0.0273047786386,1598.4,1501.0
367.24292964,0.0277838743854,1595.9,1497.0
367.703467478,0.0264989902073,1596.5,1502.0
368.164035987,0.0274229057344,1599.9,1502.0
368.624635177,0.0277213992512,1601.0,1502.0
369.085265058,0.0280648891898,1601.2,1501.0
369.545925641,0.0285170302714,1601.8,1500.0
370.006616937,0.0279925067398,1598.8,1499.0
370.467338954,0.0289964053426,1602.5,1499.0
370.928091705,0.0296813230427,1606.1,1500.0
371.388875199,0.0280737202829,1608.7,1508.0
371.849689446,0.0294189293273,1606.2,1501.0
372.310534458,0.0301601902114,1606.8,1499.0
372.771410244,0.0310442307356,1609.0,1498.0
373.232316815,0.031665279284,1607.0,1494.0
373.693254182,0.0315700321411,1613.1,1500.0
374.154222354,0.0325859709469,1615.8,1499.0
374.615221342,0.0318122713304,1614.0,1500.0
375.076251157,0.0316167283607,1616.5,1503.0
375.537311808,0.0323000951398,1621.2,1505.0
375.998403307,0.0310920972377,1612.4,1501.0
376.459525663,0.0316900426779,1620.0,1506.0
376.920678888,0.031864867483,1618.5,1504.0
377.381862991,0.0325172932501,1617.7,1501.0
377.843077982,0.0324844498919,1616.5,1500.0
378.304323873,0.0333969463581,1619.9,1500.0
378.765600674,0.0341834326467,1625.0,1502.0
379.226908395,0.0349180828327,1624.5,1499.0
379.688247046,0.0351220354052,1629.6,1503.0
380.149616637,0.0360127976085,1628.6,1499.0
380.61101718,0.0373277452118,1627.0,1493.0
381.072448685,0.0362260791263,1629.4,1499.0
381.533911162,0.0369510884633,1634.3,1501.0
381.995404621,0.0362167927839,1634.8,1504.0
382.456929073,0.0379020208319,1635.7,1499.0
382.918484528,0.0388551082332,1638.2,1498.0
383.380070996,0.0383511170234,1636.3,1498.0
383.841688489,0.0373629976324,1641.3,1506.0
384.303337016,0.0385425926516,1640.3,1501.0
